,Comment,Class,preprocessing_result
406,This song is just really fun ﻿,0,song really fun ﻿
407,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1,ehi guy subscribe channel new youtuber play minecraft thanks guy subscribe﻿
408,Check out this video on YouTube:﻿,1,check video youtube﻿
409,Subscribe to My CHANNEL﻿,1,subscribe channel﻿
410,Check out this video on YouTube:Facebook lhudygirlamaya ﻿,1,check video youtubefacebook lhudygirlamaya ﻿
411,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,1,hi beaties made new channel please go check subscribe enjoy﻿
412,I did a cover if u want to check it out THANK U.....Michael Age 8﻿,1,cover u want check thank umichael age ﻿
413,"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&amp;bvm=bv.73231344,d.bGQ&amp;cad=rja ﻿",1,top youtube top view miley cyrus ﻿
414,This is getting old.........﻿,0,getting old﻿
415,thumbs up if you think this should have 1 billion views﻿,0,thumb think billion views﻿
416,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1,fuck best ever nummber patrik kluivert son share ﻿
417,1000000000 views.﻿,0,views﻿
418,Hey ! Subscribe  to me for the peace in the world ! ♥﻿,1,hey subscribe peace world ♥﻿
419,http://9gag.com/gag/aAVpwj9/ =)﻿,1,﻿
420,I love you Shakiria!!!!!!﻿,0,love shakiria﻿
421,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0,video view million people earth﻿
422,Sub my channel!﻿,1,sub channel﻿
423,"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",1,hello im kind new youtube soon im soon going making launchpad video would really appreciate got sub started people spot easily dont really care hate comment dont bother ﻿
424,SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!﻿,1,sup gu video people love party rock thanks watching please subscribe﻿
425,love﻿,0,love﻿
426,Great music anyway﻿,0,great music anyway﻿
427,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",0,people say song old there point listening suck stfu enjoy music mom old still listen right﻿
428,Check out this video on YouTube:﻿,1,check video youtube﻿
429,this song is NICE﻿,0,song nice﻿
430,pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,plea subscribe p game video br iibr som tip contact kik skypebr iibr kik panderbr skype sandernicolaysenbr iibr plea subscribe kashoo gaming﻿
431,wierd but funny﻿,0,wierd funny﻿
432,Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0,katy perry garbage rihanna best singer world ﻿
433,Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1,check music video please subscribe fuego u la la remix hyperurlcokaxt﻿
434,"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1,cool video lmfaovevo check shuffling video channel get chance much appreciated cheer relnofollow classothashtag href ﻿
435,i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,love song much﻿
436,Visit my channel﻿,1,visit channel﻿
437,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1,please give u chance check new music video channel wont disappointed﻿
438,"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0,shitty chinese government didnt block youtube thered close billion view right ﻿
439,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,1,beautiful bella diagnosed wobbler syndrome way could afford mri surgery dog special member family without surgery fear lose please help
440,You can not hate eminem and nirvana...trust me﻿,0,hate eminem nirvanatrust me﻿
441,cool﻿,0,cool﻿
442,I like it﻿,0,like it﻿
443,Check out this video on YouTube:lo﻿,1,check video youtubelo﻿
444,I miss this song. 😢﻿,0,miss song 😢﻿
445,the most viewed youtube video of all time?﻿,0,viewed youtube video time﻿
446,http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,1,
447,"#nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev &amp; DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",1,nowplaying weekendmix track katy perry roar dj denis shmelev amp dj alex serov remix listen live wwwsmartfmnllivestreamhtml﻿
448,BEST SONG! GO SHAKI :D﻿,0,best song go shaki d﻿
449,just :( superr!!!﻿,0,superr﻿
450,Good video﻿,0,good video﻿
451,MANY MEMORIES...........﻿,0,many memories﻿
452,Check out this video on YouTube:﻿,1,check video youtube﻿
453,"So,cool！！﻿",0,socool！！﻿
454,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1,﻿
455,Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,1,omg first video youtube hit billion view like comment agree﻿
456,Check out this video on YouTube:﻿,1,check video youtube﻿
457,:D﻿,0,d﻿
458,Dang Dat little kid gat moves﻿,0,dang dat little kid gat moves﻿
459,She looks like Megan Fox 😂 xD!!﻿,0,look like megan fox 😂 xd﻿
460,Remove This video its wank﻿,0,remove video wank﻿
461,What is he saying?!?!?!?!?!?!?!?$? ﻿,0,saying ﻿
462,fave song﻿,0,fave song﻿
463,Best song ever!!!!﻿,0,best song ever﻿
464,"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,love song it´s empowering every woman you´re gon na hear roar ﻿
465,What nicei⛺♥♥♥♥﻿,0,nicei⛺♥♥♥♥﻿
466,Hi loving it﻿,0,hi loving it﻿
467,beautiful song!﻿,0,beautiful song﻿
468,"Every collaboration between them, we know it will be number 1 ﻿",0,every collaboration know number ﻿
469,The Guy in the yellow suit kinda looks like Jae-suk ﻿,0,guy yellow suit kinda look like jaesuk ﻿
470,Check out this playlist on YouTube:﻿,1,check playlist youtube﻿
471,Come subscribe﻿,1,come subscribe﻿
472,Since when has Katy Perry had her own YouTube channel?﻿,0,since katy perry youtube channel﻿
473,"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",1,love katy fashion tiger care visit blog sinar jahitan also tiger collection tqvm﻿
474,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,tried new social network tsu new social network special thingyou share post well fb twitter even toll get paid registr
475,I love your songs eminem your the rap god﻿,0,love song eminem rap god﻿
476,and u should.d check my channel and tell me what I should do next!﻿,1,u shouldd check channel tell next﻿
477,Wow I love it ﻿,0,wow love ﻿
478,http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE  GUYS. GIVE IT 5 STARS. THANKS IN ADVANCE﻿,1,vote sheldon please guy give star thanks advance﻿
479,i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,think million view come people wanted check views﻿
480,"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",0,good thing brought sprayon tan hairstylist makeup artist cameraman﻿
481,I love this shit but I disliked it because it's sucks﻿,0,love shit disliked sucks﻿
482,No-I hate The Way U LIe!!﻿,0,noi hate way u lie﻿
483,Check out this video on YouTube:﻿,1,check video youtube﻿
484,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",1,coby usl past br href hmvtxbr delete space y﻿
485,"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",0,every time hear song think iniestas goal netherlands﻿
486,THIS IS SHIT AND SOOOOO AUTOTUNED﻿,0,shit sooooo autotuned﻿
487,This was such an epic track. And the video is awesome!﻿,0,epic track video awesome﻿
488,If she really did this there she's hardcore﻿,0,really shes hardcore﻿
489,"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿",1,like comment guy started new channel get subscriber tonight ill paypal giveaway like comment friend see others also entered go ﻿
490,Check the shit out on my channel<br /><br /><br />SUBSCRIBE YOU WILL LIKE IT﻿,1,check shit channelbr br br subscribe like it﻿
491,Is that Charlie from lost?<br />﻿,0,charlie lostbr ﻿
492,Get free gift cards and pay pal money!﻿,1,get free gift card pay pal money﻿
493,Check out this video on YouTube:﻿,1,check video youtube﻿
494,Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,0,rihanna beautiful amazing ♥♥♥♥♥love much♥♥♥♥ forever riri fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿
495,i want to smack this year boy in to forever﻿,0,want smack year boy forever﻿
496,Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,1,take break katie help reach subscriber month new music free downloads ﻿
497,SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK﻿,0,seriously come beat insanely good holy fuck﻿
498,Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!﻿,0,honestly speaking except taylor swift adele dont lile modern day singer must say whenever hear song feel goosebump quite inspiring thanks miss perry﻿
499,im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1,im sorry spam name jenny go high school everyone dress fashionable dont need money buy cute clothes low self esteem live dad mom passed away dont really mother figure brother older since boy get attention alone really want wear pretty clothes like girl school get boyfriend cant self im quite shy school dont confidence talk someone one friend name caroline moved away im alone could donate money would great dont care expensive brand ill shop walmart pretty clothes also wan na get nail done salon see alot girl french tip never nail salon really appreciate get hair curled thanks omg please﻿
500,Ah. Good old times (:﻿,0,ah good old time ﻿
501,like this comment if your watching in 2015 or 2016﻿,1,like comment watching ﻿
502,Good times. ﻿,0,good time ﻿
503,"okay, this should cover me for some time... Thumbs up if you&#39;re watching while youtube still exists.﻿",1,okay cover time thumb youre watching youtube still exists﻿
504,Check out this video on YouTube:﻿,1,check video youtube﻿
505,Nice vídeo shakira good﻿,0,nice vídeo shakira good﻿
506,www.marketglory.com/strategygame/lordviperas﻿,1,wwwmarketglorycomstrategygamelordviperas﻿
507,Very Nice !﻿,0,nice ﻿
508,Best song ever made i swear :D i still hear even doe it old!! who else?﻿,0,best song ever made swear still hear even doe old else﻿
509,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0,people would saw video year yeat get word hole song﻿
510,Check out this playlist on YouTube:👿👳👳👳👳👳﻿,1,check playlist youtube👿👳👳👳👳👳﻿
511,:3﻿,0,﻿
512,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,0,song awesomeshe made everything stand viewer could imagine setting video awesome job katy perry﻿
513,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,0,billion view song annoying﻿
514,i love this song thumsb up to you﻿,0,love song thumsb you﻿
515,Love this song makes me wanna dance! ﻿,0,love song make wan na dance ﻿
516,Check out this video on YouTube:﻿,1,check video youtube﻿
517,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,0,glad know im one know katheryns birthday today happy birthday katyand sister seriously birthday﻿
518,Megan Fox is gorg in this!! Eminem is truly the rap god :)﻿,0,megan fox gorg eminem truly rap god ﻿
519,What my gangnam style﻿,0,gangnam style﻿
520,Still a very fun music video to watch! ﻿,0,still fun music video watch ﻿
521,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1,katy perry u sit face please would really awesome ill give dollar ok want please call subscribe channel first ok thats good u sit face ill get erection sit k﻿
522,2015 and more....﻿,0,more﻿
523,LMFAO IS THE BEST﻿,0,lmfao best﻿
524,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,0,jap piece shit worthless fish head dont know one like dumb untanlted gook isnt even fucken music fucking sad even thing people fucked up﻿
525,I am going to blow my mind﻿,0,going blow mind﻿
526,follower please https://www.facebook.com/lists/161620527267482﻿,1,follower please
527,Check out this video on YouTube:﻿,1,check video youtube﻿
528,Check out this video on YouTube:<br />Gotta dance and just have a blast every time I hear this song !!!! Just ❥love❥ it!<br />﻿,1,check video youtubebr got ta dance blast every time hear song ❥love❥ itbr ﻿
529,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,0,dislike one know real music ex enimen ﻿
530,just came here to check the views :P﻿,0,came check view p﻿
531,Check out this video on YouTube:﻿,1,check video youtube﻿
532,Check out this video on YouTu﻿,1,check video youtu﻿
533,Like﻿,0,like﻿
534,Katy Perry can't sing for shit. All i hear it autotune.﻿,0,katy perry cant sing shit hear autotune﻿
535,How stupid humanity is﻿,0,stupid humanity is﻿
536,Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,men stop naive idiot believing love believing woman actually respect want fulfilling drama fee life check mgtow many channel youtube chose give information needed caution men enjoy disposable provider utility﻿
537,The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,0,best song saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿
538,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,everyone please subscribe channel go look video ﻿
539,I like you . Katy Perry 600▲60▲6▲﻿,0,like katy perry ▲▲▲﻿
540,Can somebody wake me up when we get to 3 billion views.﻿,0,somebody wake get billion views﻿
541,best song﻿,0,best song﻿
542,Check out this video on YouTube:﻿,1,check video youtube﻿
543,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,0,million comment youtube user million fake account psy hacked youtube﻿
544,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1,plz check fablife welcome fablife diys challenge plz subscribe thx﻿
545,2015!! LLIKEE!!﻿,0,llikee﻿
546,Please subscribe to my channel!Thanks!﻿,1,please subscribe channelthanks﻿
547,every bady yust have a good time﻿,0,every bady yust good time﻿
548,I think this is now a place to promote channels in the comment section lol.﻿,0,think place promote channel comment section lol﻿
549,Really good song .<br />you know love song song.﻿,0,really good song br know love song song﻿
550,ALL SCHOOL DROP OUTS I KNEW AS FRIENDS BEFORE THEY DECIDED TO DROP SCHOOL THINK THERE IS NO NEED FOR AN ID CARD OR A CERTIFICATION TO PROVE YOU ARE AN EDUCATED CLEAN IN CRIMINAL RECORD TALENTED PERSON TO WORK IN ANY ENTERTAINMENT FIELD WORLDWIDE. THEY THINK THEY COULD BE RICH ENTERTAINERS BY CONSOLIDATING WITH ACTORS / ACTRESSES AS WELL AS SINGERS FOR A SHARE OF PROFIT(S).﻿,1,school drop out knew friend decided drop school think need id card certification prove educated clean criminal record talented person work entertainment field worldwide think could rich entertainer consolidating actor actress well singer share profits﻿
551,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0,katy perry roar official
552,everyones back lool this is almost 3 years old and people are still hear!  xD﻿,0,everyones back lool almost year old people still hear xd﻿
553,Yesterday this video have 1 million likes and now it has 2 million﻿,0,yesterday video million like million﻿
554,Check out this video on YouTube:﻿,1,check video youtube﻿
555,Check out this video on YouTube:﻿,1,check video youtube﻿
556,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,1,please buy new christmas shirt buy time december th sold worldwide dont miss
557,I love you!❤✨﻿,0,love you❤✨﻿
558,Check out this video on YouTube﻿,1,check video youtube﻿
559,Check out this video on YouTube:﻿,1,check video youtube﻿
560,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿",0,love song cant believe year ago doesnt get old though﻿
561,LOL this shit never gets old﻿,0,lol shit never get old﻿
562,Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1,check music video fuego u la la remix hyperurlcokaxt﻿
563,Hello from Russia comes to the channel subscribe﻿,1,hello russia come channel subscribe﻿
564,"<a href=""https://m.freemyapps.com/share/url/505b0232"">https://m.freemyapps.com/share/url/505b0232</a>﻿",1,href
565,Check out this playlist on YouTube:﻿,1,check playlist youtube﻿
566,This song never gets old love it.﻿,0,song never get old love it﻿
567,There is 7 bilion poeple on earth Now stop being dumb﻿,0,bilion poeple earth stop dumb﻿
568,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",1,hey guy working last night project music streamer like spotify allows download file listen youre offline opening free beta feel free try download
569,subscribers please`﻿,1,subscriber please﻿
570,"She is good. Does she make any more music? If she doesn't, she should!﻿",0,good make music doesnt should﻿
571,want to win borderlands the pre-sequel? check my channel :)﻿,1,want win borderland presequel check channel ﻿
572,Like eminen﻿,0,like eminen﻿
573,"Don't mind me, I'm just checking what the views are up to : )﻿",0,dont mind im checking view ﻿
574,Waka best one﻿,0,waka best one﻿
575,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,0,million dislikesepic failready fanboys﻿
576,Love you﻿,0,love you﻿
577,SUBSCRIBE me. if you do that leave your name so i can subs back ﻿,1,subscribe leave name sub back ﻿
578,Check out this video on YouTube:﻿,1,check video youtube﻿
579,I shuffled while listening to this song. THE ILLNESS IS SPREADING!!﻿,0,shuffled listening song illness spreading﻿
580,like this comment if ur watching this on 2015 ﻿,1,like comment ur watching ﻿
581,"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿",1,hahaa dance tighttttbr br know yall quot…aint got time demo manquot check stuffbr br slapper slapper banger click link peep game enjoy br br href
582,Nice﻿,0,nice﻿
583,Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1,abomination subscribe agree party channel cool lights﻿
584,There are beautiful songs please subscribe﻿,1,beautiful song please subscribe﻿
585,I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !﻿,0,id rather hear propa explicit gangsta rap insted garbage song trash ﻿
586,Wow...5 years<br />﻿,0,wow yearsbr ﻿
587,"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,fool foolish video lyric great arrogant obviously thing lot idiot look many hit garnered young stupid girl listen numbering million guess video piece trash would anyone ever like listen stupid little girl idiot father mother going turn idiot also like stupid singer ﻿
588,Check out this video on YouTube:﻿,1,check video youtube﻿
589,SHAKIRA SONG WAKA WAKA﻿,0,shakira song waka waka﻿
590,hi guys check my youtube channel﻿,1,hi guy check youtube channel﻿
591,Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿,1,ummm hit k subscriber make minecraft video help checking out﻿
592,http://hackfbaccountlive.com/?ref=5242575﻿,1,
593,Check out this playlist on YouTube:﻿,1,check playlist youtube﻿
594,Check out this video on YouTube:﻿,1,check video youtube﻿
595,Aslamu Lykum... From Pakistan﻿,1,aslamu lykum pakistan﻿
596,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1,get gwar play superbowl ﻿
597,Thumbs up if FE-FE-FE-FE-FEGELEIN brought u here﻿,1,thumb fefefefefegelein brought u here﻿
598,best rap ever﻿,0,best rap ever﻿
599,Not bad﻿,0,bad﻿
600,Party rock due and duel﻿,0,party rock due duel﻿
601,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,1,hi guy please android photo editor download thanks
602,awesome﻿,0,awesome﻿
603,http://www.ermail.pl/dolacz/UnNfY2I=                  Please click on the  link﻿,1,please click link﻿
604,that time in 2011 where this shirt was cool﻿,0,time shirt cool﻿
605,Can anyone sub to my channel? :D﻿,1,anyone sub channel d﻿
606,hey guys im 17 years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me:)﻿,1,hey guy im year old remixer producer want guy help checking video sure love music love subscribe know me﻿
607,Check out this video on YouTube:﻿,1,check video youtube﻿
608,Looooooooove this song!!!!!!!!!:))))))﻿,0,looooooooove song﻿
609,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1,im gon na share little ryhme canibus blow eminem away quadrillion time especially category intelligent thing mind learned rapped forgot eminem spit first rymeluv ya linz e﻿
610,Check out this video on YouTube:﻿,1,check video youtube﻿
611,Check out this playlist on YouTube:m﻿,1,check playlist youtubem﻿
612,Check out this playlist on YouTube: I tried﻿,1,check playlist youtube tried﻿
613,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0,championand youre gon na hear roar today champion today champion creator today positive world today blessing healing around today successful creating success ﻿
614,Best Music Ever!!!﻿,0,best music ever﻿
615, GO TO MY CHANNEL and check out my written songs﻿,1,go channel check written songs﻿
616,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",0,let make first female reach one billion share replay ﻿
617,Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1,lol check chanell subscribe please want sub thats im nearly now﻿
618,"Rihana, Love Me. :(﻿",0,rihana love ﻿
619,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0,video youtube get much view want see much view every day mean people think video popular actually get views﻿
620,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,1,please subscribe me﻿
621,"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good﻿",0,song good video make sensejust nonsense videoi mean telling story stuck island song doesnt fit situationbut nvmthe song good﻿
622,"should not have paused the music, this is a clip, not a movie.﻿",0,paused music clip movie﻿
623,The most liked video on YouTube...﻿,0,liked video youtube﻿
624,Check out this video on YouTube:﻿,1,check video youtube﻿
625,Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,1,katty perry please say one new videoes follow girl girl please﻿
626,"i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ﻿",0,think drunk shot first half video sec half come boob magically bigger shes beautiful suddenly dude practically vanishes ﻿
627,http://www.twitch.tv/daconnormc﻿,1,
628,Check out this playlist on YouTube:﻿,1,check playlist youtube﻿
629,Check out this video on YouTube:﻿,1,check video youtube﻿
630,Nice song﻿,0,nice song﻿
631,"Still listening,still same pleasure﻿",0,still listeningstill pleasure﻿
632,Great song﻿,0,great song﻿
633,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0,music video get billion view im one watching earth lol﻿
634,:-D ♪♪♪ This is my favorite song ♥﻿,0,♪♪♪ favorite song ♥﻿
635,Love this song so much! One of my faves! Xxx﻿,0,love song much one faves xxx﻿
636,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,0,viewed video youtubedaaaaaaaaaaannng view almost dominate entirechina﻿
637,Subscribe﻿,1,subscribe﻿
638,i am a big fan of you and i love you﻿,0,big fan love you﻿
639,"I hear this all the time on radio and its really irritating. That being  said, i like the video﻿",0,hear time radio really irritating said like video﻿
640,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,0,love shakira ❤🎵🎶🎼🎸﻿
641,awesome﻿,0,awesome﻿
642,Subscribe me and i subscribe you back!!﻿,1,subscribe subscribe back﻿
643,guys please subscribe me to help my channel grow please guys﻿,1,guy please subscribe help channel grow please guys﻿
644,still watching in 2015...﻿,0,still watching ﻿
645,LIKE AND SUBSCRIBE﻿,1,like subscribe﻿
646,Amazing song﻿,0,amazing song﻿
647,fucking love it omg :v﻿,0,fucking love omg v﻿
